id,timestamp,oil_level,coolant_level,brake_fluid
1,2025-11-13T08:11:28,99.4,98.0,99.9
2,2025-11-14T08:11:28,99.3,97.9,99.9
3,2025-11-15T08:11:28,99.2,97.9,99.9
4,2025-11-16T08:11:28,99.2,97.8,99.8
5,2025-11-17T08:11:28,99.1,97.8,99.8
6,2025-11-18T08:11:28,99.0,97.7,99.8
7,2025-11-19T08:11:28,98.9,97.7,99.8
8,2025-11-20T08:11:28,98.9,93.9,99.8
9,2025-11-21T08:11:28,98.8,90.5,99.8
10,2025-11-22T08:11:28,98.7,86.5,99.7
11,2025-11-23T08:11:28,98.6,82.7,99.7
12,2025-11-24T08:11:28,98.5,78.3,99.7
13,2025-11-25T08:11:28,98.4,74.0,99.7
14,2025-11-26T08:11:28,98.3,70.3,99.6
15,2025-11-27T08:11:28,98.3,66.3,99.6
